location,location_s,features,bath,bed,toilet,price,description,page,loc
atlantic view estate igbo efon lekki lagos,atlantic view estate igbo efon lekki lagos,2 bed 2 bath 3 toilet,2,2,3,1400000,"A lovely 2 bedroom flat at Atlantic view estate, upstairs, prepaid meter, clean water,no service charge, secured. ... Cheap. Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Security. Water Treatment. Street Lights. Parking Space. Security Doors. ...",47,lekki
ikate lekki lagos,ikate lekki lagos,5 bed 5 bath 5 toilet,5,5,5,6000000,"A 5 bedroom detached duplex for rent Location: Ikate, Lekki Price: 6M/p.a Features: - New - All Rooms Ensuite - interlocked Floor - Fitted Kitchen - Pop Ceiling - Clean water - Walk-in Shower - Water Heater - Automated Gate ... New. Pop Ceiling. 24 Hours Electricity. All Room Ensuit. 24 Hours Security. Cctv Cameras. Parking Space. ...",47,lekki
salem lekki phase 2 after world oil station lekki phase 2 lekki lagos,salem lekki phase 2 after world oil station lekki phase 2 lekki lagos,3 bed 0 bath 0 toilet,0,3,0,650000,"A 3 bedroom shared apartment at salem lekki with solar installation so you will hardly run out of light for your phone, laptop and basic stuff. Room ensuite in a gated compound. Double click on pictures ... ...",47,lekki
idado estates idado lekki lagos,idado estates idado lekki lagos,1 bed 0 bath 0 toilet,0,1,0,900000,"Nice and Standard Self Con Furnished Share apartment available in a Serene and Secured Estate in Idado Lekki Lagos. Features: Standard room with Big Bed; Air Conditioner, Window Blind, Inverter, Serene and cozy environment; fence ... ...",47,lekki
off kazeem eletu street osapa london osapa london lekki lagos,off kazeem eletu street osapa london osapa london lekki lagos,2 bed 2 bath 3 toilet,2,2,3,1200000,**Self Serviced Spacious and Cosy 2Bedroom Apartment** *24hours Secured Security on facility. *24hours Cleaners and waste management. *Spacious Car park. *24hours Facility personnel on standby. *Secured and clean environment. *Spacious and Ventilated rooms. *24hours Cleaners and facility personnel on standby. *Fancy lightening bulbs ... Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Security. Water Treatment. Street Lights. Parking Space. Security Doors. ...,47,lekki
chevy view estate chevron lekki lagos,chevy view estate chevron lekki lagos,5 bed 5 bath 6 toilet,5,5,6,5000000,"Lovely apartment in Chevy View for rent Rent 5M Caution fee not setting yet Agency 10% Legal 5% Service charge 350k which covers security, water treatment and waste disposal Self-service ... New. Serviced. Pop Ceiling. 24 Hours Electricity. Big Compound. Jacuzzi. Water Treatment. Parking Space. Security Doors. Supermarket Nearby. Swimming Pool. All Room Ensuit. Gym. 24 Hours Security. Boys Quater. Security. Restaurants Nearby. ...",47,lekki
before sangotedo market in sangotedo in ajah axis lekki. sangotedo ajah lagos,before sangotedo market in sangotedo in ajah axis lekki. sangotedo ajah lagos,2 bed 3 bath 3 toilet,3,2,3,600000,"A Well Kept 2 Bedrooms Flat in a peaceful, gated and secure area with good roads, very close to the road, clean water, easy access to the roads and good light in Sangotedo in Ajah ... Cheap. Renovated. Pop Ceiling. Big Compound. Fast Internet. Water Treatment. Street Lights. Parking Space. Security Doors. Supermarket Nearby. Drainage System. All Room Ensuit. 24 Hours Security. Church Nearby. Security. Restaurants Nearby. ...",47,lekki
off kusenla ikate lekki lagos,off kusenla ikate lekki lagos,4 bed 4 bath 5 toilet,4,4,5,3000000,Lovely serviced terrace duplex available for rent off Kusenla in a contemporary residential setting. Each duplex has its own private backyard and parking space allotted to each unit. Fitted kitchen and a penthouse master bedroom. ... ...,48,lekki
oral estate lekki lagos,oral estate lekki lagos,4 bed 4 bath 4 toilet,4,4,4,4500000,FULLY DETACHED CONTEMPORARY DUPLEX Pay and park in brand new 5 beds Fully Detached Duplex FEATURES: Secured and gated estate Jacuzzi Interlocked road Well channelled drainage system Large parking space Spacious living room with guest toilet Dining session Well positioned fitted kitchen with back door Pop ... New. Serviced. Pop Ceiling. 24 Hours Electricity. All Room Ensuit. Big Compound. 24 Hours Security. Security. Cctv Cameras. Water Treatment. Parking Space. ...,48,lekki
ikate lekki lagos,ikate lekki lagos,2 bed 2 bath 3 toilet,2,2,3,2000000,"Serviced 2 bedroom flat available for rent in a serene environment at lkate. Rooms are spacious and en-suite with wardrobe. Fitted kitchen and ample parking space. Rent is 2m Service charge 450k covers treatment of water, waste disposal, ... ...",48,lekki
"ikate elegushi, ikate lekki lagos","ikate elegushi, ikate lekki lagos",3 bed 3 bath 4 toilet,3,3,4,80000,Furnished 3 Bedroom Apartment with b.q Features: 24 hours security. 24 hours water and power supply. Flat screen TV . Complimentary DSTV Channels Treated water and Sewage/waste disposal services Free Cleaning services. Modern kitchen + washer dryer Ensuited Bedrooms 3 Bathrooms Toilet ... ...,48,lekki
ikota villa estate ikota lekki lagos,ikota villa estate ikota lekki lagos,3 bed 3 bath 4 toilet,3,3,4,1400000,The property is a block of flats located in a gated estate. The apartment available is a spacious 3 bedroom flat. Ceiling is finished with POP and floor with tiles. Rent is slightly negotiable ... ...,48,lekki
lekki right lekki phase 1 lekki lagos,lekki right lekki phase 1 lekki lagos,3 bed 3 bath 4 toilet,3,3,4,3800000,Serviced apartment with facility maintenance team on site. ... ...,48,lekki
close to the spar ikate lekki lagos,close to the spar ikate lekki lagos,3 bed 4 bath 4 toilet,4,3,4,3000000,Serviced 3 bedroom with bq and swimming pool with 24/7 power in an estate in ikate. Features include All rooms ensuite Fitted kitchen Guest toilet Balcony Large living area space Large kitchen and bedrooms Swimming pool Gym Facility management office Ample parking space Water treatment plant 24/7 ... ...,48,lekki
"providence street, lekki phase1 lekki phase 1 lekki lagos","providence street, lekki phase1 lekki phase 1 lekki lagos",0 bed 0 bath 0 toilet,0,0,0,1000000,"To let; A lovely mini flat for office use on providence street, lekki phase one. Going for 1million. ... ...",48,lekki
lekki phase 1 lekki lagos,lekki phase 1 lekki lagos,3 bed 3 bath 5 toilet,3,3,5,3500000,"Hi Good day Thanks for clicking on me I'm a Tastefully finished and lovely 3 bedroom terrace duplex with an en-suite bq in a Serene and secured neighbourhood with beautiful aesthetic you'd love, I'm located in a ... ...",48,lekki
. ologolo lekki lagos,. ologolo lekki lagos,3 bed 3 bath 4 toilet,3,3,4,3200000,"Tastefully finished 3 bedroom terraced duplex with bq in a good serene environment, 24hrs power supply and 24hrs armed security. ... ...",48,lekki
lekki phase 1 lekki lagos,lekki phase 1 lekki lagos,1 bed 1 bath 1 toilet,1,1,1,1500000,Decent Mini flat located at lekki phase 1. Rent 1.5m per annum Service charge 300k ... New. Serviced. Supermarket Nearby. Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Security. Restaurants Nearby. Street Lights. Security Doors. ...,48,lekki
conservative center chevron lekki lagos,conservative center chevron lekki lagos,4 bed 4 bath 5 toilet,4,4,5,3000000,"A fully serviced 4bedroom terrace duplex in a residential estate now available for letting. Featuring children's play area, 24hours light, fully fitted kitchen, good access roads etc ... ...",48,lekki
around the new shoprite in sangotedo in ajah axis lekki. sangotedo ajah lagos,around the new shoprite in sangotedo in ajah axis lekki. sangotedo ajah lagos,4 bed 5 bath 5 toilet,5,4,5,2000000,"A Newly Built Nice 4 Bedrooms Duplex in a very cool, seriously guarded, well gated and highly secured Estate with good roads, easy access to the roads, good light, clean water, very close to the ... New. Cheap. Serviced. Pop Ceiling. 24 Hours Electricity. Big Compound. Fast Internet. Water Treatment. Children Play Ground. Street Lights. Parking Space. Security Doors. Supermarket Nearby. Drainage System. Child Care. All Room Ensuit. 24 Hours Security. Boys Quater. Security. Cctv Cameras. Restaurants Nearby. ...",48,lekki
ikota ikota lekki lagos,ikota ikota lekki lagos,4 bed 4 bath 4 toilet,4,4,4,3500000,Brand new 4 bedroom fully detached duplex with room bq Spacious All rooms en-suite Cctv camera Video door bell Fully fitted Located at ikota For rent 3.5m Caution-300k Agent 10% Legal 5% ... ...,48,lekki
off admiralty way lekki phase 1 lekki lagos,off admiralty way lekki phase 1 lekki lagos,1 bed 0 bath 0 toilet,0,1,0,650000,"For lease/to let roomself contain location: admiralty road. service charge which includes security,water treatment,waste disposal,sewage removal, cleaning of the common areas. Agency:10% legal :10% ... ...",48,lekki
"chevron, lekki expressway lekki lagos","chevron, lekki expressway lekki lagos",4 bed 5 bath 5 toilet,5,4,5,4000000,Serviced New All room ensuite Swimming pool 24Hrs light ... ...,49,lekki
"lekki right, marwa lekki phase 2 lekki lagos","lekki right, marwa lekki phase 2 lekki lagos",1 bed 0 bath 0 toilet,0,1,0,1600000,"Sharp Mini Flat in Lekki Right, by Maruwa Round about. Rent: N1.6M Service Charge: N400k ... ...",49,lekki
u3 estate by petrocam filing station lekki lagos,u3 estate by petrocam filing station lekki lagos,0 bed 0 bath 0 toilet,0,0,0,2300000,*letting at U3 Estate LEKKI Right hand side* Spacious 2bedroom apartment in U3 Estate by Petrocam filing station for rent. Renting Price: #2.3M per annum Commission: 10% ... ...,49,lekki
lekki phase 1 lekki lagos,lekki phase 1 lekki lagos,4 bed 4 bath 5 toilet,4,4,5,6500000,"A newly built apartment in a lovely environment Air-condition in each of the rooms,plus a reading room with Jacuzzi in the bathroom Rent 6.5m Service charge 1.5m Diesel deposit 750k Caution fee 300k Agency10% Legal 5% ... Dry. New. Serviced. Furnished. Pop Ceiling. 24 Hours Electricity. Big Compound. Jacuzzi. Water Treatment. Parking Space. Security Doors. All Room Ensuit. 24 Hours Security. Boys Quater. Security. Cctv Cameras. Restaurants Nearby. C Of O. ...",49,lekki
lekki phase1 lekki phase 1 lekki lagos,lekki phase1 lekki phase 1 lekki lagos,3 bed 3 bath 4 toilet,3,3,4,3500000,Lovely apartment in lekki phase1 in the nice environment Rent 3.5m Agency and Agreement 10% each Caution 200k ... New. Serviced. Supermarket Nearby. Pop Ceiling. 24 Hours Electricity. All Room Ensuit. Big Compound. 24 Hours Security. Security. Restaurants Nearby. Water Treatment. Parking Space. Security Doors. ...,49,lekki
chevyview estate by chevron drive chevron lekki lagos,chevyview estate by chevron drive chevron lekki lagos,4 bed 0 bath 0 toilet,0,4,0,3500000,"4 bedroom duplex with 1 room bq with swimming pool on 1,800sqm of land ... ...",49,lekki
orchid rd chevron lekki lagos,orchid rd chevron lekki lagos,4 bed 0 bath 0 toilet,0,4,0,3200000,Fully serviced 4 bedroom terrace with BQ for rent Features include; Fully serviced Ample parking space Serene environment 24/7 security guard Well equipped & fitted kitchen Spacious rooms All room en suite 24/7 power supply 24/7 water supply with water treatment plant Good internal ... ...,49,lekki
#NAME?,ikota lekki lagos,3 bed 4 bath 4 toilet,4,3,4,2000000,"Newly renovated 3 bedrooms terrace with BQ at Westend estate, Ikota, Lekki. Rent: #2million ... Renovated. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Jacuzzi. ...",49,lekki
lekki lagos,lekki lagos,3 bed 3 bath 3 toilet,3,3,3,4000000,"3 bedroom terrace duplex, well serviced apartments with ample parking space, 24hrs power supply, treated water, secured environment. Located at lekki 4m rent and 600k service charge, electric power is pay as you go ... ...",49,lekki
osapa london lekki lagos,osapa london lekki lagos,3 bed 3 bath 4 toilet,3,3,4,3000000,"This is a tastefully finished super luxury brand new 3bedroom terrance built with lovely and superb finishing that speaks of luxury. The property was deliberately built to ensure high functionality, space and comfort It's a real ... ...",49,lekki
- lekki phase 2 lekki lagos,lekki phase 2 lekki lagos,4 bed 0 bath 0 toilet,0,4,0,6500000,well finished in a serene AND secure location with ample parking space. ... ...,49,lekki
lekki county home lekki lagos,lekki county home lekki lagos,4 bed 0 bath 0 toilet,0,4,0,2600000,The 4 bedroom duplex and a bq all ensuit with good road network free from flood and CCTV camera is located in a secured estate at lekki county home lekki Ajah. ... ...,49,lekki
ikate elegushi lekki lagos,ikate elegushi lekki lagos,2 bed 0 bath 0 toilet,0,2,0,2200000,Brand new 2 bedroom flat at Ikate Elegushi very specious all rooms ensuite down 2M up 2.2M in a private estate not far from the expressway ... ...,49,lekki
"beside nicon town, ikate lekki lagos","beside nicon town, ikate lekki lagos",3 bed 3 bath 4 toilet,3,3,4,2500000,"Trust me, this is the best apartment for you. Suitable for either residential or office use Features of the property; Alone in the compound Suitable for office use or residential Enough parking space ( 5 cars per flat) 2 sitting rooms ... ...",49,lekki
chevron drive idado lekki lagos,chevron drive idado lekki lagos,3 bed 3 bath 4 toilet,3,3,4,1700000,"*3 Bedroom Apartmemt For Rent* Location :chevron , Lekki Rent:1.7M Features : * fitted kitchen *Treated water implant *Interlocked premises *Security *Spacious living room *All rooms en suite *Modern pop designs Rent:1.7M S/c/ 300k Caution:150k Agency m legal :10% each ... ...",49,lekki
.. igbo efon lekki lagos,.. igbo efon lekki lagos,1 bed 1 bath 1 toilet,1,1,1,450000,Room and parlour at igbo efon.. ... ...,49,lekki
"lafiaji, lekki lagos","lafiaji, lekki lagos",2 bed 2 bath 3 toilet,2,2,3,1800000,Newly Built 2 Bedroom Apartment FEATURES: Spacious living room Fitted Kitchen Fitted Wardrobe Swimming Pool 24 hours power supply Interlocked Ventrify Tiles Rent Fee:1.8M Agency Fee: Legal Fee: Caution Fee: ... ...,49,lekki
"majek, after crown estate in ajah axis lekki. crown estate ajah lagos","majek, after crown estate in ajah axis lekki. crown estate ajah lagos",3 bed 4 bath 4 toilet,4,3,4,750000,"A Brand New 3 Bedrooms Flat in a guarded and gated area of Majek with good light, easy access to the roads and clean water after Crown Estate in Ajah axis Lekki For Rent. ... New. Cheap. Pop Ceiling. Big Compound. Fast Internet. Water Treatment. Street Lights. Parking Space. Security Doors. Supermarket Nearby. Drainage System. All Room Ensuit. 24 Hours Security. Church Nearby. Security. Restaurants Nearby. ...",49,lekki
"chevron, lekki expressway lekki lagos","chevron, lekki expressway lekki lagos",4 bed 5 bath 5 toilet,5,4,5,4000000,Serviced New All room ensuite Swimming pool 24Hrs light ... ...,49,lekki
osapa london osapa london lekki lagos,osapa london osapa london lekki lagos,2 bed 2 bath 1 toilet,2,2,1,2000000,Lovely 2bedroom flat in a lovely estate along shopritte road ... ...,50,lekki
estate agungi lekki lagos,estate agungi lekki lagos,1 bed 1 bath 1 toilet,1,1,1,850000,Nice and Standard Newly Built Mini Flat available in a Serene and Secured Estate in Agungi Lekki Lagos. Features: Standard room with a nice wardrobe; Serene and cozy environment; fence gated compound; good ... New. 24 Hours Security. Security. ...,50,lekki
"in a secured gated estate, spacious miniflat, agungi lekki lagos","in a secured gated estate, spacious miniflat, agungi lekki lagos",1 bed 1 bath 2 toilet,1,1,2,1000000,. ... ...,50,lekki
oakland beside blenco lekki phase 2 lekki lagos,oakland beside blenco lekki phase 2 lekki lagos,2 bed 0 bath 0 toilet,0,2,0,850000,"Fully serviced 2 bedroom bungalow with pool. Swimming pool, estate security , AC , bed , tv , fully furnished, adequate Parkin space.. just bring your clothes and move in... ... ...",50,lekki
idado idado lekki lagos,idado idado lekki lagos,2 bed 2 bath 3 toilet,2,2,3,1300000,2 bedroom Flat / Apartment for rent idado Idado Lekki Lagos ... ...,50,lekki
adeyemi akintunde street lekki phase 1 lekki lagos,adeyemi akintunde street lekki phase 1 lekki lagos,2 bed 2 bath 3 toilet,2,2,3,2800000,"Now Letting: Premium 2 bedroom self serviced bungalow in an exclusive compound serviced with fitted air conditioner and kitchen. Ideal for newly wedded couples, working class singles and for company quest house. The property is located in a ... ...",50,lekki
atlantic view estate igbo efon lekki lagos,atlantic view estate igbo efon lekki lagos,2 bed 3 bath 3 toilet,3,2,3,1400000,"A lovely 2 bedroom flat at atlantic view estate, well secured, good road and clean water. ... New. Cheap. Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Security. Water Treatment. Street Lights. Parking Space. Security Doors. ...",50,lekki
idado idado lekki lagos,idado idado lekki lagos,1 bed 1 bath 1 toilet,1,1,1,1000000,studio mini apartment ... Renovated. ...,50,lekki
estate agungi lekki lagos,estate agungi lekki lagos,1 bed 1 bath 1 toilet,1,1,1,650000,Nice and Standard Self Con Share Apartment available in a Serene and Secured Estate in Agungi Lekki Lagos. Features: Standard room with Nice Wardrobe; Serene and cozy environment; fence and gated compound; good road network; ... ...,50,lekki
"honorable abala, ilasan ilasan lekki lagos","honorable abala, ilasan ilasan lekki lagos",3 bed 3 bath 3 toilet,3,3,3,2000000,"3bedroom flat to let at ilasan lekki back of Romeo garden Feture: Architectural masterpiece with all round tiles all rooms ensuite, interlock compound fitted kitchen ample packing space etc . Rent : #2m Service charge: #300k / year Caution ... ...",50,lekki
#NAME?,nicon town lekki lagos,5 bed 0 bath 0 toilet,0,5,0,13500000,5 bedroom Duplex for rent. Rent:13.5M Location Nicone town lekki. State:Lagos Agency 10% Legal:5% ... ...,50,lekki
osapa garden estate lekki lagos,osapa garden estate lekki lagos,3 bed 3 bath 3 toilet,3,3,3,2300000,*SERVICED 3 BEDROOM FLAT FOR RENT* *FEATURES* -Large Sitting Room. -All Rooms Ensuite -Fitted Kitchen -Visitor's Toilet. -Water Heater - Stylish Wardrobe -POP Finished -Clean Water -Parking Space - 16 to 18 Hours Generator Daily -24Hrs Estate Security -Great Lighting -House Security Post. -Serene Environment. ... New. Furnished. Pop Ceiling. 24 Hours Electricity. All Room Ensuit. Big Compound. 24 Hours Security. Parking Space. ...,50,lekki
off admiralty road lekki phase 1 lekki lagos,off admiralty road lekki phase 1 lekki lagos,4 bed 0 bath 0 toilet,0,4,0,7000000,Suitable for Residential or office use Spacious rooms All rooms ensuite Well structured design Good parking space Serene environment Not prone to flooding Clean water. ... ...,50,lekki
lekki phase 1 lekki lagos,lekki phase 1 lekki lagos,1 bed 1 bath 1 toilet,1,1,1,1500000,Decent Mini flat located at lekki phase 1. Rent 1.5m per annum Service charge 300k ... New. Serviced. Supermarket Nearby. Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Security. Restaurants Nearby. Street Lights. Security Doors. ...,50,lekki
ologolo lekki lagos,ologolo lekki lagos,4 bed 4 bath 4 toilet,4,4,4,3500000,"FOR RENT/LEASE!!! 4 bedroom semi-detached duplex with BQ FEATURES: Steady power supply, Electric fence, Visitor's toilet, Large living room, Family lounge, Dinning area, Kitchen and store, Water storage, Gate house, CCTV . Borehole, Good Return on ... ...",50,lekki
osapa london lekki lagos,osapa london lekki lagos,3 bed 0 bath 0 toilet,0,3,0,2500000,3 bedroom apartment available for rent at Osapa for 2.5m. ... ...,50,lekki
greenville estate agungi lekki lagos,greenville estate agungi lekki lagos,1 bed 1 bath 1 toilet,1,1,1,400000,The property is a renovated block of room self-contains and one bedroom flats. It is a located in a serene and gated neighborhood. ... Cheap. Renovated. All Room Ensuit. Big Compound. ...,50,lekki
new horizon 2 by meadow hall sch ikate ikate lekki lagos,new horizon 2 by meadow hall sch ikate ikate lekki lagos,1 bed 0 bath 0 toilet,0,1,0,1500000,"Brand new tastefully built mini flat in a gated estate with 24hrs uniform security and power supply lekki horizon 2 by meadow hall sch ikate, features re, water heater, fitted kitchen with gass cooker, standard ... ...",50,lekki
osapa osapa london lekki lagos,osapa osapa london lekki lagos,2 bed 2 bath 2 toilet,2,2,2,1800000,Available ... ...,50,lekki
osapa london osapa london lekki lagos,osapa london osapa london lekki lagos,2 bed 2 bath 1 toilet,2,2,1,2000000,Lovely 2bedroom flat in a lovely estate along shopritte road ... ...,50,lekki
ikota lekki lagos,ikota lekki lagos,4 bed 4 bath 4 toilet,4,4,4,3000000,"4 BEDROOM SEMI-DETACHED DUPLEX FOR RENT!!! - - Ikota, Lekki, Lagos Price: 3M per annum Features: - New - All Rooms Ensuite - Carport - CCTV Cameras - Fitted Kitchen - BQ - Stamped Concrete Floor - Family Lounge - Sound System - 1 BQ ... New. Serviced. Pop Ceiling. 24 Hours Electricity. All Room Ensuit. Big Compound. 24 Hours Security. Boys Quater. Cctv Cameras. ...",51,lekki
anu crescent badore ajah lekki badore ajah lagos,anu crescent badore ajah lekki badore ajah lagos,2 bed 2 bath 2 toilet,2,2,2,1000000,EXQUISITELY FINISHED BRAND NEW 2 BEDROOM FLAT FOR RENT FEATURES -Large Sitting Room. -All Rooms Ensuite -Fitted Kitchen -Visitor's Toilet. -Water Heater -Stylish Wardrobe -Shower Cubicles -POP Finished -Water Treatment Plant -Excellent Parking Space. -Stamping Floor. Interlocked Road. -24Hrs Estate Security -Great Lighting -House Security Post. -Generator House. -Serena Environment. E.T.C ... New. Pop Ceiling. All Room Ensuit. ...,51,lekki
orchid road oral estate lekki lagos,orchid road oral estate lekki lagos,3 bed 3 bath 4 toilet,3,3,4,2500000,"The properties are newly built Serviced 3 Bedroom Terraces located in a good neighborhood along Orchid Road. It is a serviced apartment. Service Charge is #650,000 per annum. Letting Price: #2.5M Sale Price: #40M ... New. Serviced. Pop Ceiling. All Room Ensuit. Water Treatment. Parking Space. ...",51,lekki
chevron alternative route chevron lekki lagos,chevron alternative route chevron lekki lagos,0 bed 0 bath 0 toilet,0,0,0,3500000,LETTING: Tastefully Newly Built modern Detached 5 bedroom detached duplex in a MINI court Located at Chevron Lekki Lagos. Rent PRICE: #3.5 m per Annum ... New. ...,51,lekki
- lekki phase 1 lekki lagos,lekki phase 1 lekki lagos,3 bed 0 bath 0 toilet,0,3,0,3500000,3bedroom Terrace for rent with a BQ: Rent 3.5m Location: Lekki Service charge:250k Caution: 175k Legal: 5% Agency:10 % ... ...,51,lekki
lekki lagos,lekki lagos,4 bed 4 bath 4 toilet,4,4,4,80000,This is a 4 bedroom fully furnished duplex for short let in Lekki. ... ...,51,lekki
lekki phase 1 lekki lagos,lekki phase 1 lekki lagos,6 bed 0 bath 0 toilet,0,6,0,8000000,"It's a lovely office/Residential duplex+Bq, with gatehouse. ... ...",51,lekki
world oil ilasan lekki lagos,world oil ilasan lekki lagos,4 bed 0 bath 0 toilet,0,4,0,3000000,4 bedroom terrace duplex for rent at ilasan world oil lekki ... ...,51,lekki
off babatunde anjous lekki phase 1 lekki lagos,off babatunde anjous lekki phase 1 lekki lagos,3 bed 3 bath 4 toilet,3,3,4,2500000,Available for rent ... ...,51,lekki
"chevy view estate lekki, lekki expressway lekki lagos","chevy view estate lekki, lekki expressway lekki lagos",4 bed 0 bath 0 toilet,0,4,0,4000000,Lovely 4 bedroom duplex. All room ensuite ... ...,51,lekki
chevron lekki lagos,chevron lekki lagos,3 bed 3 bath 3 toilet,3,3,3,2000000,"A well tiled, beautiful 3 bedroom flat is available for rent in Chevron It has a spacious living room and is very close to the main road. The house is located in a clean and secured ... ...",51,lekki
ikota lekki lagos,ikota lekki lagos,5 bed 5 bath 6 toilet,5,5,6,79000000,5 Bedroom Detached Detached Duplex for Sale at Ikota Lekki LK812 ... ...,51,lekki
off admiralty road lekki lekki phase 1 lekki lagos,off admiralty road lekki lekki phase 1 lekki lagos,1 bed 2 bath 2 toilet,2,1,2,1500000,"*TO LET* Executive Miniflats available in Lekki phase 1, off admiralty way , no floods, very neat compound, easily accessibility to the road 1.5m For more inquires call ... Dry. Cheap. Renovated. Serviced. Furnished. Pop Ceiling. Big Compound. Jacuzzi. Water Treatment. Street Lights. Parking Space. Security Doors. Supermarket Nearby. Drainage System. All Room Ensuit. Survey. 24 Hours Security. Security. Restaurants Nearby. Governor's Consent. C Of O. ...",51,lekki
"osapa modern estate, lekki lagos","osapa modern estate, lekki lagos",3 bed 3 bath 4 toilet,3,3,4,2500000,"An affordable luxurious 3 bedroom apartment located in a secured and serene location. Spacious living room, nicely equipped kitchen, with a modern en-suite bathrooms and guest toilet. This facility has 24 hours power supply via electricity and ... ...",51,lekki
lekki lagos,lekki lagos,3 bed 3 bath 3 toilet,3,3,3,50000,"3 bedroom terrace duplex with swimming pool and gym . Fully furnished short let #50,000 per day ... ...",51,lekki
igbo efon lekki lagos,igbo efon lekki lagos,2 bed 2 bath 3 toilet,2,2,3,2000000,2 bedroom in a secure estate in info ebony ... ...,51,lekki
by pinnock beach agungi lekki lagos,by pinnock beach agungi lekki lagos,3 bed 3 bath 4 toilet,3,3,4,2500000,"Fully serviced apartments with 24hours light, clean treated water, high end interior wares. Manned and Electronic surveillance system in place, GYM for the fitness buffs, pool area for kids and adults. ... ...",51,lekki
... igbo efon lekki lagos,... igbo efon lekki lagos,3 bed 0 bath 0 toilet,0,3,0,2000000,"It a 3 bedroom flat for rent in a quiet neighbourhood at igbo efon, it has good water, steady power supply and 24hours CCTV camera. ... ...",51,lekki
lekki phase 1 lekki lagos,lekki phase 1 lekki lagos,3 bed 4 bath 4 toilet,4,3,4,70000,"SHORTLET Lovely and cozy Shortlet's for you and your family. Why stay in a hotel when you can get this luxury. Stand by cleaner to tidy up your apartment, we also have a chef if you ... ...",51,lekki
ikota lekki lagos,ikota lekki lagos,4 bed 4 bath 4 toilet,4,4,4,3000000,"4 BEDROOM SEMI-DETACHED DUPLEX FOR RENT!!! - - Ikota, Lekki, Lagos Price: 3M per annum Features: - New - All Rooms Ensuite - Carport - CCTV Cameras - Fitted Kitchen - BQ - Stamped Concrete Floor - Family Lounge - Sound System - 1 BQ ... New. Serviced. Pop Ceiling. 24 Hours Electricity. All Room Ensuit. Big Compound. 24 Hours Security. Boys Quater. Cctv Cameras. ...",51,lekki
near admiralty estate igbo efon lekki lagos,near admiralty estate igbo efon lekki lagos,3 bed 4 bath 4 toilet,4,3,4,1200000,"A brand new 3 bedroom flat, close to admiralty estate,all rooms en suite,clean water, fitted kitchen. ... New. Cheap. Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Church Nearby. Security. Water Treatment. Parking Space. Security Doors. ...",52,lekki
bera/bakare agungi lekki lagos,bera/bakare agungi lekki lagos,2 bed 3 bath 3 toilet,3,2,3,2500000,"A lovely massive 2 bedroom pent house, all rooms ensuite,clean water,good road and secured with ccTV. ... New. Serviced. Pop Ceiling. Big Compound. Fast Internet. Water Treatment. Street Lights. Parking Space. Security Doors. Supermarket Nearby. Drainage System. All Room Ensuit. 24 Hours Security. Security. Cctv Cameras. ...",52,lekki
#NAME?,ikota lekki lagos,4 bed 0 bath 0 toilet,0,4,0,3500000,4 bedroom semi detached duplex for rent By Lekki Second Toll Gate Price: 3.5m Features: - All Ensuite - CCTV Cameras - Security - Stamp Concrete Floor - Jacuzzi - 1 Boy’s Quarter - In-house sound systems - Water Treatment - Fitted Kitchen ... ...,52,lekki
.. idado lekki lagos,.. idado lekki lagos,0 bed 1 bath 1 toilet,1,0,1,900000,"A Room Self Contain, A Newly Built, Upstairs, (With Shared Kitchen or Intended Kitchen Optional) A Clean, Nice, Standard Apartment, highly gated and secured compound, gated and secured estate, well structured and very organize, at Idado, Lekki, Lagos. Fully Serviced. Hurry! 1st Pay, ... New. Cheap. Serviced. Pop Ceiling. Security. Water Treatment. Parking Space. ...",52,lekki
#NAME?,igbo efon lekki lagos,2 bed 0 bath 0 toilet,0,2,0,1000000,"Located in a clean secured non- flooding area of igboefon on paved walkable distance to the express way It is a self serviced apartment, it comes with it own prepaid meter for power supply ... ...",52,lekki
orchid road chevron lekki lagos,orchid road chevron lekki lagos,4 bed 4 bath 4 toilet,4,4,4,4500000,"4 BEDROOM DETACHED DUPLEX FOR RENT!!! - Location: Orchid, Lekki, Lagos Price: 4.5M per annum - Features: - New - All Rooms Ensuite - Carport - CCTV Cameras - Fully Fitted Kitchen - Stamped Concrete Floor - Sound System - Security House -Swimming Pool - 1 BQ ... New. Swimming Pool. 24 Hours Electricity. All Room Ensuit. Big Compound. 24 Hours Security. Boys Quater. Security. Cctv Cameras. Water Treatment. Parking Space. Security Doors. ...",52,lekki
off admiralty way lekki phase 1 lekki lagos,off admiralty way lekki phase 1 lekki lagos,3 bed 3 bath 4 toilet,3,3,4,2800000,A very well maintained self serviced 3bedroom flat in a serene residential area of Lekki phase 1 available to let. ... ...,52,lekki
